file,sha256,bytes,codec,decoder_sample_rate,channels,duration_seconds,peak_dbfs,rms_dbfs,samples_at_or_above_full_scale_pct,quiet_frames_below_minus50_dbfs_pct,duplicate_of,decoder_errors
1.opus,bc29c92d539835a8af8b277cfe05faca0016f406521c6d340c37a8182fd7cb8c,30463,opus,48000,1,14.5135,3.19,-20.18,0.1071,8.97,,
2.opus,a7338322c29c9594f9310490fedebd59df0d16666cabf53ffdd639388758e458,20266,opus,48000,1,9.6535,0.29,-20.83,0.0047,14.94,,
3.opus,d4be63730661638c4837f8c6276eb46b78042b475d4bba4ba8cd84d7f012f004,32275,opus,48000,1,15.1335,0.06,-20.71,0.0039,8.6,,
4.opus,8e3aaf4159f88e2020c555fbba456c011f654d62153a12c4d20426785524a37b,31616,opus,48000,1,16.0735,1.8,-19.43,0.0981,35.74,,
5.opus,9e00e08399d632931b35ea27d858044fafe9abf8c67c841bbdd2cf73fd812478,24742,opus,48000,1,10.7335,0.36,-19.24,0.0035,4.85,,
6.opus,f43e4015b2d2b7d7c5c9abb6b52ccd4188f96df2991d5b728868e30b9738099e,24511,opus,48000,1,10.6335,0.02,-23.06,0.0002,9.23,,
7.opus,377b3962e7d1607c50f13092bbe99cfe72b6f49d9d6e6ea54311e52d81e4af66,29290,opus,48000,1,12.6535,0.04,-20.01,0.0007,10.92,,
8.opus,6fe366f2835ce01089fdcc4f8167b2fc66c5c4237b6bce13d2d860cabad8b087,32013,opus,48000,1,13.7535,0.15,-19.56,0.0006,5.09,,
9.opus,90370b31a42ec8525903cccd19381fb9bbb7a5d954a3e56a68acccced6e1984a,37300,opus,48000,1,17.4935,0.31,-21.04,0.0021,22.08,,
10.opus,8ba1952cc029e4bee052967b827e921f5d63b33bc540d443e93c00d06a615913,42233,opus,48000,1,20.2335,3.12,-20.04,0.0059,30.07,,
11.opus,85ac3e3393f6722b22b8397b34aa458e552b164439275c91d4065c24cbe08b71,33366,opus,48000,1,14.5135,0.39,-20.37,0.002,20.55,,
12.opus,0bd8641965839cffef9d3df33316ab52f394e9f49ea42e5bb050f310b71e3de1,29500,opus,48000,1,13.0935,0.27,-20.61,0.0068,19.42,,
13.opus,6797f359f768920a62e4d3d480434bcc7fce166de3c13e4ea7be2f8692f3e3f1,35749,opus,48000,1,16.3335,-0.06,-19.7,0.0,22.43,,
14.opus,468e287ce49323767c0fcd1048ef1116776fc8ef67011c93331b6e24bc4153d3,27494,opus,48000,1,11.8935,0.14,-20.21,0.0019,16.84,,
15.opus,6356b9bca625a6855d81b3d6b23cd503ac015b6331a03276f1169d2a25e5baac,37213,opus,48000,1,16.1135,0.14,-19.76,0.0028,11.8,,
16.opus,351cf76c04786264a280aee48cfda6ceac98c2eae0814abed750368d69d3f2cf,32374,opus,48000,1,15.2335,0.16,-20.62,0.0016,20.89,,
17.opus,33e8f07aa25a08f9eff17a6ffa30480ce04720a9bd1057360d7221f5bf61b418,21489,opus,48000,1,9.6735,0.12,-20.31,0.0009,13.04,,
18.opus,b4c487e8a44b855f26f4f56c270d2b63f9fa5e614d544abbdb39c538bcc1bf7d,23346,opus,48000,1,10.0935,0.08,-21.37,0.0033,8.73,,
19.opus,9dd1cb7bcfefe1ec2d2339acd9a05317e6dc3bccd678d50c8f14bca96298c694,28357,opus,48000,1,13.3135,0.89,-20.07,0.007,13.53,,
20.opus,bc4c3239fb87f1212e967bfe5096764aeed6f3f7a2e89afdd604a03c5de31523,28260,opus,48000,1,13.2735,1.61,-20.08,0.0078,20.06,,
21.opus,33e8f07aa25a08f9eff17a6ffa30480ce04720a9bd1057360d7221f5bf61b418,21489,opus,48000,1,9.6735,0.12,-20.31,0.0009,13.04,17.opus,
